,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age,BLK,BLK%,BPM,DBPM,DRB,DRB%,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,G,GS,MP,OBPM,ORB,ORB%,OWS,PER,PF,PTS,Player,Pos,Rk,STL,STL%,TOV,TOV%,TRB,TRB%,TS%,Tm,USG%,VORP,WS,WS/48,eFG%
521,0.9,.416,2.2,1.7,0.364,4.7,0.682,1.5,9.8,24,0.1,0.4,-0.7,0.2,1.9,9.2,0.9,2.6,0.38,6.9,0.9,0.833,1.0,0.149,35,7,20.7,-0.9,0.3,1.3,0.5,10.3,1.1,7.8,Landry Shamet,SG,480.0,0.5,1.2,0.6,7.2,2.1,5.4,0.531,PHO,16.5,0.2,1.4,.092,0.504
523,1.4,.682,2.0,0.1,0.333,0.3,0.12,0.0,0.0,20,0.3,3.7,-3.9,-1.9,1.6,25.4,0.1,1.5,0.64,2.3,0.4,0.364,1.0,0.44,11,0,6.5,-2.0,1.4,23.2,0.1,19.2,1.1,3.4,Day'Ron Sharpe,PF,481.0,0.2,1.3,0.7,21.1,3.0,24.3,0.62,BRK,22.8,0.0,0.2,.120,0.66
524,6.8,.526,13.0,1.0,0.315,3.3,0.204,4.4,20.3,27,0.8,2.3,1.7,-0.2,6.4,20.5,0.7,7.9,0.483,16.3,3.6,0.714,5.1,0.313,22,22,35.1,1.9,2.1,6.1,1.3,19.3,3.3,20.4,Pascal Siakam,PF,482.0,0.8,1.2,2.5,12.1,8.5,13.0,0.551,TOR,25.6,0.7,2.0,.126,0.515
529,2.5,.491,5.1,2.3,0.396,5.8,0.534,2.5,15.9,22,0.1,0.5,-1.6,-2.7,2.0,8.9,-0.1,4.8,0.44,10.9,1.4,0.957,1.5,0.134,32,5,25.1,1.0,0.6,2.4,1.3,14.6,2.0,13.3,Anfernee Simons,SG,485.0,0.4,0.8,1.3,9.7,2.5,5.6,0.576,POR,22.3,0.1,1.2,.069,0.546
532,0.6,.292,2.0,0.3,0.222,1.5,0.429,1.2,11.6,22,0.2,1.3,-7.5,-0.8,1.2,9.3,0.1,0.9,0.262,3.5,0.4,0.833,0.5,0.143,12,1,13.0,-6.7,0.3,2.7,-0.3,3.3,0.9,2.6,Javonte Smart,PG,488.0,0.3,1.2,0.7,15.2,1.5,6.1,0.347,MIL,14.5,-0.2,-0.2,-0.048,0.31
533,2.6,.482,5.5,1.4,0.297,4.8,0.466,5.5,23.2,27,0.3,0.8,-0.7,1.4,3.4,10.5,1.5,4.1,0.396,10.3,2.1,0.792,2.7,0.26,36,36,34.6,-2.0,0.7,2.0,0.8,12.8,2.5,11.6,Marcus Smart,PG,489.0,1.9,2.7,2.0,14.7,4.0,6.2,0.509,BOS,16.9,0.4,2.3,.089,0.465
534,1.7,.432,3.9,0.3,0.273,1.2,0.229,3.3,27.3,24,0.4,2.3,-1.6,0.9,1.8,12.1,0.3,2.0,0.396,5.1,1.1,0.667,1.6,0.313,19,3,17.2,-2.5,0.5,3.3,-0.2,12.3,1.3,5.4,Dennis Smith Jr.,PG,490.0,1.3,3.6,1.7,22.7,2.4,7.6,0.467,POR,18.8,0.0,0.0,.007,0.427
535,1.8,.397,4.5,0.3,0.444,0.7,0.129,2.8,26.0,33,0.3,1.7,-5.6,-1.6,1.3,9.8,0.1,2.1,0.403,5.1,0.3,0.563,0.6,0.115,27,1,14.4,-4.0,0.1,1.1,-0.3,9.4,1.0,4.8,Ish Smith,PG,491.0,0.6,1.8,1.1,17.0,1.4,5.3,0.442,CHO,19.2,-0.4,-0.2,-0.030,0.432
536,2.5,.597,4.2,0.4,0.25,1.4,0.25,0.2,2.4,21,0.6,3.6,0.9,-0.7,3.2,22.9,0.4,2.9,0.51,5.6,1.7,0.853,2.0,0.354,17,4,14.2,1.6,2.2,17.0,0.7,21.8,1.5,7.8,Jalen Smith,PF,492.0,0.2,0.8,0.6,9.0,5.4,20.0,0.599,PHO,21.7,0.2,1.1,.226,0.542
538,0.2,.333,0.5,0.6,0.364,1.7,0.786,0.6,6.5,30,0.2,1.2,-4.6,-1.1,1.3,11.4,0.0,0.8,0.357,2.2,0.1,1.0,0.1,0.054,26,7,12.6,-3.4,0.3,2.3,0.1,5.6,1.2,2.3,Tony Snell,SG,494.0,0.2,0.7,0.3,10.9,1.5,6.8,0.515,POR,8.6,-0.2,0.1,.014,0.5
