,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age,BLK,BLK%,BPM,DBPM,DRB,DRB%,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,G,GS,MP,OBPM,ORB,ORB%,OWS,PER,PF,PTS,Player,Pos,Rk,STL,STL%,TOV,TOV%,TRB,TRB%,TS%,Tm,USG%,VORP,WS,WS/48,eFG%
0,2.9,.415,7.0,0.3,0.29,1.2,0.145,1.5,8.9,22,0.5,2.1,-3.8,-1.0,5.3,24.3,0.7,3.3,0.397,8.2,1.1,0.571,1.9,0.229,26,17,24.7,-2.8,2.3,9.6,-0.2,11.2,2.2,8.0,Precious Achiuwa,C,1.0,0.5,1.1,1.2,11.3,7.6,16.6,0.439,TOR,17.7,-0.3,0.5,.039,0.418
1,2.6,.530,5.0,0.0,0.0,0.0,0.0,3.0,15.1,28,0.6,2.1,1.0,0.1,5.1,21.6,1.2,2.6,0.53,5.0,1.7,0.6,2.9,0.581,40,40,25.7,0.9,4.3,17.4,2.0,17.4,1.7,7.0,Steven Adams,C,2.0,0.8,1.6,1.6,20.5,9.4,19.5,0.561,MEM,12.7,0.8,3.2,.150,0.53
2,7.0,.521,13.4,0.0,0.0,0.1,0.004,3.2,16.0,24,0.3,1.1,1.9,1.0,7.4,25.3,0.9,7.0,0.519,13.5,4.7,0.759,6.2,0.461,18,18,32.9,0.8,2.7,9.2,0.9,19.5,3.3,18.7,Bam Adebayo,C,3.0,1.1,1.7,2.9,15.3,10.2,17.3,0.577,MIA,25.8,0.6,1.8,.147,0.519
3,1.3,.543,2.3,0.2,0.121,1.7,0.418,0.7,8.1,21,0.3,2.1,-6.7,-2.4,1.9,18.6,0.2,1.5,0.367,4.0,0.5,0.588,0.9,0.215,20,0,10.9,-4.3,1.1,10.1,0.0,9.5,1.1,3.6,Santi Aldama,PF,4.0,0.1,0.4,0.4,7.5,2.9,14.2,0.416,MEM,18.0,-0.3,0.1,.032,0.392
4,5.4,.596,9.1,0.4,0.343,1.3,0.121,0.8,5.9,36,1.1,4.2,1.4,-0.4,4.3,18.5,0.9,5.9,0.566,10.4,1.6,0.846,1.9,0.179,28,10,23.4,1.8,1.5,7.3,1.4,20.7,1.7,13.7,LaMarcus Aldridge,C,5.0,0.4,0.8,0.9,7.4,5.8,13.1,0.614,BRK,22.4,0.6,2.3,.167,0.586
5,2.9,.422,6.9,2.1,0.311,6.8,0.495,2.6,15.2,23,0.3,1.0,-3.4,-1.9,2.7,11.0,0.5,5.0,0.367,13.7,1.2,0.717,1.7,0.122,36,18,27.4,-1.5,0.9,3.4,-0.8,10.6,1.8,13.4,Nickeil Alexander-Walker,SG,6.0,0.9,1.7,1.6,10.0,3.6,7.1,0.463,NOP,25.0,-0.3,-0.3,-0.014,0.444
6,1.4,.476,2.9,2.7,0.389,7.0,0.71,1.3,6.7,26,0.4,1.4,0.0,-0.4,2.9,10.7,0.9,4.1,0.414,9.9,1.0,0.854,1.1,0.115,36,35,28.4,0.4,0.4,1.7,1.4,12.6,1.4,11.9,Grayson Allen,SG,7.0,0.8,1.3,0.6,5.8,3.4,6.2,0.572,MIL,16.6,0.5,2.3,.107,0.552
7,7.0,.715,9.7,0.0,0.143,0.2,0.023,1.9,9.4,23,1.5,4.0,5.2,1.9,7.5,23.8,2.0,7.0,0.702,10.0,3.1,0.706,4.4,0.44,31,31,32.8,3.3,3.3,11.2,3.5,24.5,1.8,17.1,Jarrett Allen,C,8.0,0.9,1.4,1.9,13.6,10.7,17.7,0.72,CLE,18.3,1.9,5.5,.258,0.704
8,0.3,.250,1.0,0.2,0.182,0.9,0.478,0.9,19.8,23,0.0,0.0,-4.6,1.1,0.4,7.3,0.1,0.4,0.217,1.9,0.6,0.636,0.9,0.478,12,0,6.3,-5.7,0.2,2.8,-0.1,7.5,0.7,1.6,Jose Alvarado,PG,9.0,0.5,3.9,0.2,6.7,0.6,5.0,0.341,NOP,16.8,0.0,0.0,-0.006,0.261
12,2.4,.462,5.2,0.7,0.353,2.1,0.282,2.5,15.4,28,0.5,2.3,0.2,1.1,4.4,21.6,1.0,3.2,0.432,7.3,1.1,0.66,1.6,0.22,33,5,22.4,-0.9,0.8,3.9,0.5,14.1,1.5,8.1,Kyle Anderson,PF,11.0,1.0,2.2,1.0,11.4,5.3,12.6,0.505,MEM,16.9,0.4,1.6,.102,0.481
13,8.9,.606,14.6,1.0,0.271,3.8,0.206,5.9,33.8,27,1.5,4.6,10.2,3.4,9.6,30.6,1.9,9.9,0.537,18.5,7.1,0.69,10.3,0.558,31,31,32.5,6.8,1.9,6.4,3.9,31.3,3.2,27.9,Giannis Antetokounmpo,PF,12.0,1.1,1.6,3.3,12.4,11.5,18.7,0.608,MIL,34.6,3.1,5.8,.277,0.565
14,1.4,.522,2.7,0.0,0.111,0.4,0.118,0.8,8.2,29,0.2,1.6,-4.0,0.6,1.9,15.4,0.4,1.4,0.474,3.0,0.5,0.591,0.9,0.289,25,5,12.6,-4.6,1.1,9.1,0.1,9.9,1.9,3.4,Thanasis Antetokounmpo,SF,13.0,0.5,1.8,0.7,16.6,3.0,12.3,0.502,MIL,13.9,-0.2,0.5,.073,0.48
15,2.2,.480,4.5,2.4,0.39,6.1,0.571,1.0,5.3,37,0.8,2.7,-0.3,-0.7,3.3,12.5,1.0,4.5,0.429,10.6,1.8,0.798,2.3,0.215,39,3,27.1,0.4,0.8,3.4,1.3,14.3,2.4,13.3,Carmelo Anthony,PF,14.0,0.7,1.3,0.8,6.6,4.2,8.1,0.572,LAL,19.6,0.4,2.4,.107,0.54
16,4.3,.471,9.1,2.7,0.354,7.6,0.454,5.9,30.4,21,0.2,0.5,1.2,-0.8,5.5,17.3,0.5,7.0,0.418,16.6,3.6,0.865,4.2,0.25,25,25,33.9,2.0,0.5,1.6,0.8,17.1,2.5,20.2,Cole Anthony,PG,15.0,0.8,1.2,2.8,13.3,6.0,9.5,0.547,ORL,27.2,0.7,1.3,.074,0.499
17,4.5,.489,9.1,2.6,0.359,7.1,0.438,2.5,10.6,24,0.5,1.2,1.0,-0.4,3.9,12.2,0.7,7.0,0.432,16.2,2.7,0.831,3.3,0.201,20,20,36.0,1.4,1.4,4.0,1.1,16.5,2.9,19.3,OG Anunoby,SF,16.0,1.7,2.3,1.6,8.1,5.3,7.9,0.546,TOR,22.7,0.5,1.7,.115,0.511
19,0.5,.429,1.2,1.1,0.405,2.8,0.706,2.3,22.3,34,0.0,0.0,-3.9,-3.2,0.9,6.8,-0.1,1.6,0.412,4.0,1.0,0.882,1.1,0.286,30,2,15.0,-0.8,0.2,1.2,0.4,10.8,0.5,5.4,D.J. Augustin,PG,18.0,0.3,1.1,1.3,22.5,1.1,4.0,0.605,HOU,16.4,-0.2,0.3,.033,0.555
20,1.8,.535,3.3,0.9,0.3,2.9,0.464,1.6,9.4,21,0.7,2.6,-1.0,1.0,4.3,19.7,1.0,2.7,0.426,6.2,1.1,0.717,1.6,0.253,38,5,23.5,-2.0,0.8,3.6,0.4,11.7,2.3,7.3,Deni Avdija,SF,19.0,0.8,1.7,0.9,11.4,5.1,11.8,0.528,WAS,14.8,0.2,1.4,.073,0.496
23,7.5,.638,11.8,0.0,0.143,0.3,0.024,1.6,8.2,23,0.8,2.4,3.4,1.0,8.2,27.3,1.5,7.5,0.626,12.0,1.9,0.662,2.8,0.235,24,24,30.7,2.4,2.9,10.2,1.8,22.2,2.2,17.0,Deandre Ayton,C,21.0,0.8,1.2,1.8,11.6,11.1,19.0,0.64,PHO,21.0,1.0,3.2,.211,0.628
25,2.6,.515,5.0,0.6,0.234,2.4,0.322,0.7,5.0,22,0.2,0.8,-3.3,-2.5,4.8,24.6,0.3,3.1,0.425,7.3,1.2,0.706,1.7,0.233,20,7,20.6,-0.8,2.3,12.0,0.3,13.6,1.7,8.0,Marvin Bagley III,PF,23.0,0.3,0.7,0.7,7.5,7.1,18.3,0.494,SAC,18.1,-0.2,0.6,.072,0.462
26,4.2,.455,9.3,2.8,0.384,7.2,0.435,7.8,36.6,20,0.5,1.4,4.0,0.3,5.8,19.7,0.8,7.0,0.424,16.5,2.6,0.876,2.9,0.178,33,33,31.9,3.7,1.6,5.1,1.9,20.9,3.1,19.3,LaMelo Ball,PG,24.0,1.7,2.6,3.1,14.7,7.3,12.2,0.543,CHO,27.7,1.6,2.7,.122,0.507
27,1.6,.414,3.9,3.0,0.41,7.4,0.657,5.1,19.7,24,1.0,2.4,2.2,1.6,4.5,13.9,1.5,4.6,0.411,11.3,0.6,0.773,0.7,0.065,30,30,35.4,0.6,1.0,3.0,0.6,14.0,2.4,12.9,Lonzo Ball,PG,25.0,1.8,2.5,2.4,17.4,5.5,8.5,0.555,CHI,17.4,1.1,2.1,.095,0.546
28,2.8,.549,5.1,1.3,0.342,3.9,0.433,1.6,8.9,23,2.1,6.8,0.7,1.3,6.3,23.9,1.1,4.1,0.459,9.0,0.6,0.731,0.9,0.096,30,30,28.1,-0.6,2.2,8.3,0.6,15.9,2.5,10.2,Mo Bamba,C,26.0,0.8,1.4,1.3,12.4,8.5,16.1,0.545,ORL,16.5,0.6,1.6,.094,0.533
29,3.8,.512,7.4,2.9,0.416,6.9,0.484,2.3,12.0,23,0.5,1.5,1.8,-0.4,3.9,14.4,1.1,6.6,0.466,14.3,1.2,0.906,1.4,0.095,39,39,30.0,2.2,0.5,1.7,2.1,16.8,2.5,17.4,Desmond Bane,SF,27.0,1.0,1.6,1.4,8.8,4.4,7.9,0.585,MEM,22.7,1.1,3.2,.132,0.567
30,1.3,.461,2.9,0.2,0.28,0.8,0.219,1.8,20.5,22,0.2,1.3,-3.6,-0.6,1.5,14.0,0.3,1.5,0.421,3.7,0.6,0.75,0.8,0.211,31,1,12.2,-3.0,0.6,5.2,-0.1,10.2,1.3,3.9,Dalano Banton,SF,28.0,0.4,1.6,1.1,20.9,2.1,9.4,0.486,TOR,17.8,-0.2,0.2,.023,0.452
32,3.0,.469,6.4,2.1,0.42,5.0,0.437,2.3,10.3,29,0.2,0.5,0.9,-1.1,4.9,15.6,0.5,5.1,0.447,11.4,4.2,0.831,5.1,0.445,35,35,33.5,2.0,1.2,3.7,2.2,15.8,1.3,16.5,Harrison Barnes,PF,30.0,0.7,1.1,1.8,11.7,6.1,9.7,0.605,SAC,19.6,0.9,2.7,.109,0.539
33,5.2,.527,9.9,0.8,0.338,2.3,0.186,3.5,14.5,20,0.9,2.6,0.8,0.0,5.2,16.4,1.0,6.0,0.492,12.2,2.3,0.719,3.2,0.262,30,30,35.8,0.8,2.9,8.3,1.7,16.6,2.9,15.1,Scottie Barnes,PF,31.0,1.1,1.5,2.0,12.6,8.1,12.1,0.554,TOR,18.6,0.8,2.7,.121,0.523
34,3.8,.451,8.4,1.8,0.333,5.3,0.39,2.3,12.5,21,0.3,1.0,-2.5,-1.4,4.8,16.6,0.8,5.6,0.405,13.7,2.7,0.707,3.8,0.28,32,32,31.3,-1.1,0.7,2.4,0.0,12.3,2.0,15.6,RJ Barrett,SF,32.0,0.5,0.8,1.8,10.5,5.5,9.5,0.507,NYK,24.4,-0.1,0.7,.036,0.47
35,3.5,.483,7.3,2.3,0.362,6.5,0.469,4.2,19.6,31,0.5,1.3,0.5,-0.3,4.4,14.7,1.0,5.9,0.426,13.8,1.2,0.792,1.5,0.109,32,32,32.9,0.8,0.7,2.2,0.4,14.2,1.5,15.3,Will Barton,SG,33.0,0.9,1.4,1.9,11.5,5.1,8.5,0.529,DEN,22.1,0.7,1.4,.064,0.511
37,1.5,.750,2.0,0.0,0.0,0.2,0.086,0.4,7.0,21,0.8,8.7,2.2,2.0,2.2,28.0,0.2,1.5,0.686,2.2,0.5,0.727,0.7,0.314,16,0,8.5,0.2,1.0,13.2,0.4,22.1,1.5,3.5,Charles Bassey,PF,35.0,0.2,1.1,0.4,14.9,3.2,20.7,0.703,PHI,15.6,0.1,0.6,.228,0.686
38,1.9,.587,3.2,0.2,0.304,0.8,0.2,0.7,5.5,26,0.4,2.1,-1.9,-0.1,2.8,19.0,0.5,2.1,0.53,4.0,0.8,0.647,1.2,0.296,29,8,15.5,-1.8,1.1,7.4,0.3,13.3,0.9,5.2,Keita Bates-Diop,SF,36.0,0.5,1.6,0.8,15.0,3.9,13.2,0.581,SAS,14.4,0.0,0.9,.092,0.561
39,1.1,.815,1.4,1.9,0.389,4.8,0.779,1.5,8.5,33,0.8,2.5,2.7,2.4,4.2,16.8,0.8,3.0,0.484,6.1,0.3,0.5,0.6,0.098,20,16,25.6,0.3,0.4,1.7,0.5,13.3,1.1,8.1,Nicolas Batum,PF,37.0,1.1,2.0,0.9,11.8,4.6,9.5,0.632,LAC,12.4,0.6,1.3,.125,0.635
40,0.7,.333,2.0,0.8,0.34,2.4,0.541,0.9,6.2,32,0.3,1.4,-3.6,1.3,1.8,10.0,0.4,1.5,0.337,4.5,0.5,0.769,0.6,0.133,22,14,18.1,-4.9,0.3,1.6,-0.1,6.4,2.3,4.3,Kent Bazemore,SF,38.0,0.9,2.3,0.4,7.2,2.0,6.0,0.453,LAL,12.0,-0.1,0.3,.035,0.429
41,2.4,.450,5.3,1.0,0.279,3.5,0.396,1.2,7.1,21,1.3,4.6,-2.4,0.8,5.4,20.7,1.3,3.3,0.382,8.8,1.3,0.615,2.0,0.232,32,27,26.8,-3.1,1.1,4.0,-1.0,10.9,0.9,8.9,Darius Bazley,PF,39.0,0.8,1.5,1.4,12.7,6.5,12.2,0.462,OKC,17.8,-0.1,0.3,.018,0.438
42,7.6,.519,14.6,1.6,0.288,5.5,0.275,6.4,30.9,28,0.3,0.8,1.1,-1.4,3.7,10.9,0.6,9.2,0.456,20.1,4.2,0.836,5.0,0.247,32,32,36.1,2.5,1.0,3.1,1.1,18.8,2.4,24.1,Bradley Beal,SG,40.0,0.9,1.2,3.3,13.0,4.7,7.1,0.54,WAS,31.6,0.9,1.7,.071,0.495
44,1.5,.457,3.3,3.0,0.339,8.8,0.726,1.7,9.4,25,0.1,0.5,-1.8,-1.3,2.9,11.5,0.8,4.5,0.371,12.2,0.5,0.72,0.7,0.054,38,9,27.5,-0.4,0.4,1.4,0.3,10.5,1.2,12.5,Malik Beasley,SG,41.0,0.6,1.1,0.8,6.3,3.2,6.2,0.502,MIN,20.3,0.1,1.1,.049,0.495
45,2.3,.629,3.6,0.4,0.462,0.8,0.183,1.3,9.0,27,0.6,2.6,0.3,1.8,2.7,13.3,0.9,2.7,0.599,4.4,0.5,0.577,0.8,0.183,32,14,20.3,-1.6,0.7,3.9,0.9,13.2,2.3,6.2,DeAndre' Bembry,SF,42.0,1.0,2.3,0.7,12.5,3.4,8.8,0.642,BRK,11.7,0.4,1.8,.134,0.641
46,0.5,.480,1.0,1.5,0.336,4.6,0.826,0.6,5.1,29,0.1,0.6,-2.8,-1.3,1.7,10.9,0.2,2.0,0.361,5.5,1.0,0.929,1.1,0.194,26,0,16.1,-1.5,0.2,1.6,0.2,9.9,1.7,6.5,Davis Bertans,PF,43.0,0.4,1.3,0.5,7.1,1.9,6.4,0.544,WAS,17.9,-0.1,0.5,.055,0.5
47,2.0,.529,3.8,1.3,0.327,4.1,0.519,5.2,28.4,33,0.9,3.3,3.2,2.2,3.3,13.6,0.9,3.3,0.425,7.9,1.2,0.702,1.7,0.222,27,23,26.7,1.0,1.3,4.8,1.4,15.8,3.0,9.2,Patrick Beverley,PG,44.0,1.0,1.9,1.2,12.4,4.6,9.0,0.535,MIN,15.4,0.9,2.3,.153,0.509
48,2.8,.423,6.6,2.3,0.321,7.1,0.516,2.5,12.3,22,0.2,0.4,-2.0,-1.3,4.9,16.7,0.8,5.1,0.37,13.7,2.4,0.83,2.9,0.209,37,37,33.6,-0.7,1.4,4.3,0.0,12.0,1.7,14.8,Saddiq Bey,SF,45.0,1.0,1.4,1.5,9.2,6.3,10.1,0.494,DET,21.0,0.0,0.9,.034,0.453
49,2.4,.535,4.5,0.0,0.0,0.3,0.065,1.3,8.0,29,0.6,2.6,0.0,0.0,2.6,13.6,0.4,2.4,0.5,4.8,1.4,0.743,1.8,0.38,19,4,21.8,0.0,2.8,13.4,0.8,15.7,1.7,6.2,Khem Birch,C,46.0,0.9,2.0,0.7,11.5,5.5,13.5,0.549,TOR,12.5,0.2,1.2,.137,0.5
50,0.7,.484,1.5,0.2,0.143,1.3,0.475,0.1,2.5,22,0.5,5.6,-6.4,-0.1,1.2,16.3,0.3,0.9,0.322,2.8,0.5,0.611,0.9,0.305,21,0,8.1,-6.3,1.0,13.7,-0.2,10.3,1.5,2.5,Goga Bitadze,C,47.0,0.5,2.9,0.4,10.7,2.2,15.0,0.396,IND,19.2,-0.2,0.1,.022,0.356
52,1.5,.528,2.8,1.0,0.389,2.5,0.468,1.6,15.2,33,0.3,2.0,1.4,1.6,3.0,20.9,1.2,2.5,0.463,5.3,0.8,0.674,1.2,0.227,38,0,15.1,-0.2,0.9,6.6,0.5,15.2,1.6,6.7,Nemanja Bjelica,C,49.0,0.6,1.9,1.1,15.8,3.9,14.0,0.573,GSW,20.1,0.5,1.7,.140,0.554
53,2.8,.480,5.9,1.0,0.322,3.1,0.346,4.1,22.7,32,0.4,1.2,-0.9,1.1,3.2,12.1,1.5,3.8,0.426,9.0,1.8,0.787,2.3,0.254,39,29,26.8,-2.0,0.5,2.2,-0.2,12.7,1.6,10.4,Eric Bledsoe,PG,50.0,1.3,2.4,2.3,18.8,3.7,7.3,0.523,LAC,20.1,0.3,1.3,.059,0.481
55,2.2,.477,4.6,2.1,0.362,5.9,0.56,2.5,12.4,29,0.2,0.7,-1.6,-1.0,3.3,12.5,0.2,4.3,0.413,10.5,0.9,0.759,1.2,0.115,24,22,28.8,-0.6,0.3,1.1,0.6,11.7,1.9,11.7,Bogdan Bogdanovic,SG,52.0,0.7,1.1,0.9,7.7,3.6,6.8,0.531,ATL,18.1,0.1,0.7,.051,0.514
56,3.5,.547,6.4,2.7,0.42,6.4,0.5,1.6,8.1,32,0.0,0.1,1.8,-1.1,3.3,11.4,0.9,6.2,0.484,12.8,3.2,0.864,3.7,0.288,38,38,30.2,2.9,0.8,3.0,2.9,17.5,1.6,18.2,Bojan Bogdanovic,PF,53.0,0.5,0.8,1.7,10.3,4.1,7.4,0.633,UTA,22.9,1.1,3.9,.161,0.588
57,1.0,.609,1.6,0.1,0.25,0.3,0.148,0.4,9.6,22,0.1,2.3,-1.2,-0.6,1.1,21.6,0.1,1.1,0.556,1.9,0.1,0.4,0.4,0.185,14,0,5.8,-0.6,0.3,5.5,0.0,14.2,0.3,2.4,Bol Bol,PF,54.0,0.1,0.6,0.3,12.0,1.4,13.7,0.565,DEN,18.2,0.0,0.1,.074,0.574
58,0.3,.350,0.9,0.1,0.167,0.5,0.375,0.5,7.8,21,0.0,0.0,-6.9,-0.8,0.9,12.0,0.1,0.4,0.281,1.4,0.3,0.889,0.4,0.281,23,2,8.0,-6.1,0.7,8.2,-0.2,3.8,0.9,1.2,Leandro Bolmaro,SF,55.0,0.2,1.3,0.5,25.0,1.5,10.0,0.389,MIN,10.9,-0.2,0.0,-0.013,0.313
59,0.2,.222,0.8,0.1,0.25,0.3,0.308,0.3,6.0,22,0.2,3.1,-2.1,3.6,0.3,5.4,0.1,0.3,0.231,1.1,0.3,0.667,0.5,0.462,12,0,5.3,-5.7,0.3,6.5,-0.1,8.0,0.8,0.9,Isaac Bonga,SF,56.0,0.6,5.5,0.2,11.3,0.6,6.0,0.352,TOR,12.0,0.0,0.0,.038,0.269
60,6.0,.461,12.9,2.6,0.405,6.5,0.333,4.5,22.1,25,0.3,0.9,2.7,-0.1,4.6,14.3,1.5,8.6,0.443,19.4,3.7,0.866,4.3,0.223,31,31,32.7,2.8,0.9,2.9,1.3,19.4,2.4,23.5,Devin Booker,SG,57.0,0.9,1.4,2.6,10.8,5.5,8.7,0.552,PHO,31.4,1.2,2.8,.133,0.51
61,1.6,.400,4.1,0.7,0.294,2.3,0.362,0.7,7.3,20,0.2,1.3,-4.1,-0.3,1.6,11.1,0.4,2.3,0.362,6.4,1.3,0.848,1.5,0.234,22,0,15.1,-3.8,0.3,2.0,-0.4,9.9,0.7,6.6,Brandon Boston Jr.,SG,58.0,0.7,2.2,0.8,9.9,1.9,6.6,0.466,LAC,22.7,-0.2,0.0,.004,0.415
62,2.3,.571,4.0,0.7,0.245,2.8,0.414,0.3,2.9,29,0.9,5.3,-1.1,-1.1,3.5,22.5,0.8,3.0,0.436,6.9,1.6,0.757,2.1,0.308,33,7,17.3,0.0,1.7,10.1,0.8,17.6,1.8,8.3,Chris Boucher,PF,59.0,0.5,1.6,0.7,8.2,5.2,16.0,0.531,TOR,21.0,0.1,1.5,.129,0.487
63,0.7,.308,2.2,0.6,0.393,1.6,0.418,0.8,13.1,21,0.0,0.0,-7.3,-5.7,0.7,9.6,0.0,1.3,0.343,3.7,0.4,0.8,0.6,0.149,18,0,8.2,-1.6,0.8,9.8,0.0,10.6,0.7,3.6,James Bouknight,SG,60.0,0.1,0.3,0.3,7.8,1.5,9.7,0.455,CHO,22.3,-0.2,0.0,.001,0.425
65,1.2,.468,2.5,1.3,0.394,3.4,0.575,0.8,4.6,31,0.3,1.0,-2.5,0.5,2.0,8.6,0.6,2.5,0.425,5.8,0.1,1.0,0.1,0.022,31,26,23.8,-3.0,0.5,2.2,0.3,8.5,1.7,6.4,Avery Bradley,SG,61.0,0.9,1.9,0.5,7.6,2.5,5.5,0.544,LAL,11.5,-0.1,0.9,.061,0.539
66,1.7,.574,3.0,0.0,0.0,0.0,0.0,0.6,6.2,24,0.6,3.9,-1.2,0.3,2.9,24.9,0.4,1.7,0.574,3.0,0.3,0.778,0.4,0.132,23,7,12.7,-1.5,1.5,13.3,0.4,14.7,1.3,3.7,Tony Bradley,C,62.0,0.2,0.8,0.7,18.2,4.4,19.1,0.591,CHI,13.3,0.1,0.8,.131,0.574
67,0.5,.400,1.3,0.3,0.182,1.4,0.524,0.5,8.0,23,0.1,0.6,-7.6,-1.5,0.9,11.2,0.1,0.8,0.286,2.6,0.3,0.833,0.4,0.143,16,0,9.0,-6.1,0.4,5.2,-0.2,4.2,1.0,2.1,Ignas Brazdeikis,SF,63.0,0.3,1.4,0.3,10.1,1.4,8.2,0.37,ORL,14.9,-0.2,-0.2,-0.053,0.333
68,3.4,.585,5.9,1.4,0.397,3.6,0.378,1.7,6.6,25,0.5,1.2,1.3,1.5,3.0,9.1,1.8,4.9,0.514,9.5,1.0,0.848,1.2,0.128,38,38,34.1,-0.1,1.0,3.2,2.0,13.1,2.0,12.2,Mikal Bridges,SF,64.0,1.3,1.8,0.7,6.9,4.0,6.2,0.609,PHO,13.5,1.1,3.9,.143,0.589
69,5.4,.578,9.4,1.9,0.318,5.9,0.387,3.7,15.2,23,0.8,2.2,0.6,-0.8,5.9,17.9,0.7,7.3,0.477,15.4,3.0,0.766,3.9,0.255,37,37,35.8,1.4,1.3,3.7,2.2,17.8,2.5,19.5,Miles Bridges,PF,65.0,1.2,1.5,1.9,9.8,7.2,10.6,0.572,CHO,22.4,0.9,2.8,.103,0.539
70,1.4,.519,2.8,0.9,0.371,2.5,0.476,0.8,6.3,23,0.3,1.2,-1.1,-0.7,2.5,15.4,0.4,2.4,0.449,5.3,0.5,0.556,1.0,0.184,28,1,17.8,-0.4,1.3,8.0,0.4,12.5,1.3,6.2,Oshae Brissett,SF,66.0,0.6,1.6,0.7,11.2,3.8,11.7,0.544,IND,15.7,0.1,0.8,.081,0.537
71,4.9,.529,9.3,1.8,0.311,5.7,0.379,6.1,27.9,29,0.4,1.1,2.9,-0.1,4.4,14.3,0.7,6.7,0.446,15.0,3.8,0.855,4.5,0.3,26,26,34.3,3.0,0.9,3.0,1.9,18.9,2.1,19.0,Malcolm Brogdon,PG,67.0,0.9,1.3,2.2,11.6,5.3,8.6,0.559,IND,24.4,1.1,2.5,.137,0.505
72,0.6,.606,1.0,1.8,0.322,5.6,0.845,1.5,12.1,23,0.2,1.1,-3.0,-1.8,1.7,10.1,0.1,2.4,0.366,6.7,0.5,0.889,0.6,0.085,32,8,18.3,-1.2,0.3,1.7,0.4,10.6,1.7,7.2,Armoni Brooks,SG,68.0,0.6,1.6,0.5,7.1,2.0,5.9,0.521,HOU,17.3,-0.1,0.5,.042,0.502
73,5.6,.470,11.8,1.7,0.327,5.1,0.3,2.9,15.8,26,0.2,0.6,-1.2,-0.8,2.6,9.8,0.5,7.2,0.427,16.9,3.2,0.889,3.6,0.214,20,19,29.0,-0.4,0.8,2.9,0.6,16.3,3.4,19.3,Dillon Brooks,SF,69.0,1.3,2.2,1.9,9.1,3.4,6.2,0.522,MEM,29.2,0.1,1.1,.092,0.476
74,2.7,.513,5.2,0.3,0.31,1.0,0.16,1.3,8.0,25,0.5,2.0,-1.0,1.7,3.2,14.1,1.0,3.0,0.481,6.2,0.6,0.75,0.8,0.133,29,17,22.9,-2.8,1.3,6.5,0.5,12.2,2.8,6.9,Bruce Brown,SF,70.0,1.3,2.7,0.7,9.5,4.5,10.5,0.525,BRK,13.8,0.2,1.5,.107,0.506
79,0.7,.455,1.6,0.0,0.0,0.4,0.185,0.4,10.3,20,0.3,5.3,-8.0,-1.5,0.9,20.4,0.1,0.7,0.37,1.9,0.3,0.364,0.8,0.407,14,0,5.1,-6.5,0.5,10.6,-0.2,8.3,0.7,1.7,Greg Brown III,SF,73.0,0.1,1.4,0.4,13.6,1.4,15.4,0.377,POR,22.3,-0.1,-0.1,-0.079,0.37
80,5.9,.521,11.4,2.8,0.361,7.8,0.406,2.6,13.6,25,0.5,1.4,1.7,-0.4,5.3,16.8,1.0,8.7,0.456,19.1,4.0,0.773,5.1,0.268,25,25,34.4,2.1,0.8,2.5,0.4,18.1,2.7,24.2,Jaylen Brown,SF,74.0,1.2,1.7,3.2,13.0,6.1,9.5,0.566,BOS,31.3,0.7,1.4,.079,0.529
81,1.2,.605,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.3,4.3,-3.0,-0.3,1.7,28.2,0.3,1.2,0.605,2.0,1.2,0.659,1.9,0.953,22,1,6.7,-2.7,0.6,10.2,0.3,18.9,1.2,3.6,Moses Brown,C,75.0,0.1,1.0,0.5,15.3,2.3,19.0,0.647,DAL,21.8,0.0,0.5,.175,0.605
82,0.6,.500,1.3,0.8,0.357,2.3,0.648,1.0,9.1,26,0.1,0.8,-1.5,0.5,3.1,22.9,0.6,1.5,0.407,3.6,0.3,0.9,0.3,0.093,30,3,15.1,-2.0,0.7,4.8,0.2,10.2,1.2,4.1,Sterling Brown,SG,76.0,0.4,1.3,0.7,15.1,3.7,13.6,0.543,DAL,13.1,0.1,0.8,.082,0.523
83,1.1,.500,2.3,0.5,0.282,1.6,0.419,1.2,11.3,22,0.1,0.5,-1.2,0.5,2.3,17.9,0.4,1.6,0.409,3.9,0.5,0.75,0.7,0.172,24,1,14.3,-1.8,0.4,3.2,0.2,11.1,0.8,4.1,Troy Brown Jr.,SF,77.0,0.5,1.7,0.3,6.5,2.8,10.6,0.495,CHI,13.7,0.1,0.6,.087,0.468
84,5.3,.540,9.8,1.1,0.336,3.2,0.248,5.5,29.8,25,0.1,0.2,1.3,-0.2,3.1,11.2,1.1,6.4,0.49,13.0,2.2,0.776,2.9,0.223,37,19,30.9,1.5,0.6,2.0,2.3,17.9,1.9,16.0,Jalen Brunson,PG,78.0,0.8,1.4,1.7,10.5,3.6,6.5,0.563,DAL,23.1,1.0,3.4,.141,0.531
